Date,Open,High,Low,Close,Adj_Close,Volume,Day
2014-12-17,181.970001,185.550003,181.839996,185.179993,158.225281,5588600,312
2014-12-18,186.740005,188.580002,186,188.550003,161.104752,3820200,313
2014-12-19,189.289993,190.130005,188.589996,189.419998,161.848099,1800800,314
2014-12-22,189.570007,190.259995,189.339996,190.259995,162.565842,3005800,315
2014-12-23,190.940002,190.970001,190.300003,190.550003,162.813599,1926800,316
2014-12-24,190.809998,191.050003,190.5,190.529999,162.796539,952700,317
2014-12-26,191.059998,191.520004,190.990005,191.149994,163.326324,650300,318
2014-12-29,190.970001,191.630005,190.899994,191.419998,163.557007,878600,319
2014-12-30,190.949997,191.089996,190.300003,190.380005,162.668365,3224500,320
2014-12-31,190.75,190.910004,188.380005,188.399994,160.976593,1366000,321
2015-01-02,189.289993,189.720001,187.259995,188.399994,160.976593,1865000,322
2015-01-05,187.259995,187.410004,184.660004,185.089996,158.148392,2734700,323
2015-01-06,185.369995,185.880005,182.360001,183.270004,156.593292,2245300,324
2015-01-07,184.729996,185.910004,184.229996,185.559998,158.549957,2305600,325
2015-01-08,187.130005,189.050003,187.070007,188.820007,161.335434,1740600,326
2015-01-09,189.300003,189.339996,186.649994,187.229996,159.976837,2525200,327
2015-01-12,187.460007,187.600006,185.190002,185.839996,158.789215,1847500,328
2015-01-13,187.220001,188.410004,183.899994,185.350006,158.37056,2158500,329
2015-01-14,183.100006,184.399994,182.110001,184.259995,157.439194,5216300,330
2015-01-15,184.880005,185.25,182.399994,182.539993,155.969559,1940700,331
2015-01-16,182.309998,185.080002,182.089996,184.800003,157.90065,1472800,332
2015-01-20,185.619995,185.899994,183.580002,185.259995,158.293686,1637600,333
2015-01-21,184.770004,186.740005,184.300003,186.229996,159.122452,1586500,334
2015-01-22,187.089996,189.149994,185.600006,189.080002,161.557587,6074900,335
2015-01-23,188.720001,189.020004,187.789993,188.039993,160.668976,3109800,336
2015-01-26,187.789993,188.509995,186.929993,188.410004,160.985107,2018000,337
2015-01-27,186.139999,187.179993,185.020004,185.940002,158.87468,1979100,338
2015-01-28,187.270004,187.320007,183.350006,183.490005,156.78125,2530800,339
2015-01-29,183.740005,185.529999,182.210007,185.270004,158.302139,4338200,340
2015-01-30,183.960007,185.380005,182.630005,182.990005,156.35408,2302500,341
2015-02-02,183.5,185.259995,181.470001,185.089996,158.148392,3397800,342
2015-02-03,186.130005,187.860001,185.789993,187.789993,160.455383,1435000,343
2015-02-04,187.029999,188.350006,186.649994,187.149994,159.908554,1861200,344
2015-02-05,187.889999,189.190002,187.850006,189.050003,161.531952,1033800,345
2015-02-06,189.490005,190.050003,187.940002,188.520004,161.079117,1454700,346
2015-02-09,187.809998,188.589996,187.220001,187.660004,160.34433,2289300,347
2015-02-10,188.820007,189.929993,187.850006,189.660004,162.053192,1798000,348
2015-02-11,189.509995,190.229996,188.779999,189.789993,162.164276,1744400,349
2015-02-12,190.699997,191.649994,190.470001,191.550003,163.66806,2008500,350
